CpartNr;SpartNr;PurchaseNo;SaleNo
76753021W448;76883021G448KPK01;870005971;
76753104W888;76783104G888KPK01;870008980;
76753021W533;76883021g533kpk01;870001582;
76753021W550;76883021G550KPK01;870000796;
76753104W990;76783104G990KPK01;870008981;
76753051W000;76783051G000KPK01;870008036;
76753021W554;76883021G554KPK01;870001036;
76753021W555;76883021G555KPK01;870000797;
76753021W556;76883021G556KPK01;870002529;
76753021W557;76883021G557KPK01;870001384;
76753021W558;76883021G558KPK01;870004341;
76753021W559;76883021G559KPK01;870003697;
76753021W600;76883021G600KPK01;870003072;
76753051W003;76783051G003KPK01;870009225;
76753051W005;76783051G005KPK01;870009226;
76753021W662;76883021G662KPK01;870001385;
76753021W663;76883021G663KPK01;870001386;
76753021W664;76883021G664KPK01;870001387;
76753051W006;76783051G006KPK01;870007349;
76753051W009;76783051G009KPK01;870009559;
76753021W667;76883021G667KPK01;870001513;
76753021W668;76883021G668KPK01;870000799;
76753021W669;76883021G669KPK01;870000640;
76753021W770;76883021G770KPK01;870001388;
76753021W771;76883021G771KPK01;870000800;
76753021W772;76883021G772KPK01;870000801;
76753051W110;76783051G110KPK01;870009019;
76753021W774;76883021G774KPK01;870000802;
76753051W111;76783051G111KPK01;870007310;
76753021W776;76883021G776KPK01;870000642;
76753021W777;76883021G777KPK01;870001390;
76753021W778;76883021G778KPK01;870007668;
76753021W779;76883021G779KPK01;870000643;
76753021W800;76883021G800KPK01;870001584;
76753021W880;76883021G880KPK01;870001585;
76753021W881;76883021G881KPK01;870001398;
76753051W330;76783051G330KPK01;870009227;
76753021W883;76883021G883KPK01;870001399;
76753051W335;76783051G335KPK01;870009212;
76753021W885;76883021G885KPK01;870002745;
76753051W441;76783051G441KPK01;870009229;
76753021W887;76883021G887KPK01;870001586;
76753021W888;76883021G888KPK01;870002085;
76753021W889;76883021G889KPK01;870001400;
76753021W990;76883021G990KPK01;870000646;
76753021W991;76883021G991KPK01;870001046;
76753021W993;76883021G993KPK01;870002086;
76753021W994;76883021G994KPK01;870001405;
76753051W554;76783051G554KPK01;870008037;
76753051W770;76783051G770KPK01;870007839;
76753021W998;76883021G998KPK01;870001406;
76753022W000;76783022G000KPK01;870005997;
76753022W333;76783022G333KPK01;870009569;
76753022W555;76783022G555KPK01;870007268;
76753040W000;76783040K000KPK01;870000648;
76753040W001;76783040K001KPK01;870004477;
76753040W003;76783040K003KPK01;870001408;
76753040W004;76783040K004KPK01;870001049;
76753040W005;76783040K005KPK01;870001050;
76753040W006;76783040K006KPK01;870000649;
76753040W007;76783040K007KPK01;870000650;
76753040W008;76783040K008KPK01;870001409;
76753040W009;76783040K009KPK01;870000651;
76753040W022;76783040K022KPK01;870004083;
76753040W033;76783040K033KPK01;870001410;
76753040W110;76783040K110KPK01;870005801;
76753040W113;76783040K113KPK01;870001587;
76753040W114;76783040K114KPK01;870004350;
76753040W116;76783040K116KPK01;870005802;
76753040W117;76783040K117KPK01;870009644;
76753040W119;76783040K119KPK01;870005804;
76753040W200;76783040K200KPK01;870004523;
76753040W223;76783040K223KPK01;870005972;
76753040W300;76783040K300KPK01;870005805;
76753040W326;76783040K326KPK01;870005806;
76753040W328;76783040K328KPK01;870000652;
76753040W330;76783040K330KPK01;870001411;
76753040W331;76783040K331KPK01;870004508;
76753040W333;76783040K333KPK01;870000806;
76753040W334;76783040K334KPK01;870004509;
76753040W335;76783040K335KPK01;870001413;
76753040W336;76783040K336KPK01;870001414;
76753040W337;76783040K337KPK01;870001415;
76753040W338;76783040K338KPK01;870001416;
76753040W339;76783040K339KPK01;870001417;
76753040W340;76783040K340KPK01;870006183;
76753040W353;76783040K353KPK01;870005273;
76753040W355;76783040K355KPK01;870004478;
76753040W441;76783040K441KPK01;870002690;
76753040W443;76783040K443KPK01;870005973;
76753040W444;76783040K444KPK01;870002770;
76753040W445;76783040K445KPK01;870000807;
76753040W449;76783040K449KPK01;870001418;
76753040W533;76783040K533KPK01;870002856;
76753040W550;76783040K550KPK01;870001588;
76753040W552;76783040K552KPK01;870005974;
76753040W553;76783040K553KPK01;870001420;
76753040W555;76783040K555KPK01;870005272;
76753040W556;76783040K556KPK01;870003012;
76753040W557;76783040K557KPK01;870003987;
76753040W558;76783040K558KPK01;870005807;
