CpartNr;SpartNr;PurchaseNo;SaleNo
76755070W556;76785070K556KPK01;870004449;
76755070W558;76785070K558KPK01;870004450;
76755070W881;76785070K881KPK01;870004451;
76755070W888;76785070K888KPK01;870004452;
76755070W889;76785070K889KPK01;870004453;
76755070W999;76785070K999KPK01;870004455;
76755090W330;76785090K330KPK01;870004456;
76755090W331;76785090K331KPK01;870004515;
76755090W334;76785090K334KPK01;870004457;
76755090W335;76785090K335KPK01;870004458;
76755090W336;76785090K336KPK01;870004516;
76755090W449;76785090K449KPK01;870004517;
76755090W888;76785090K888KPK01;870004518;
76755090W889;76785090K889KPK01;870004519;
76755111K339;76785111K339KPK01;870004951;
76755111K888;76785111K888KPK01;870004952;
76755113W335;76785113K335KPK01;870006143;
76755113W449;76785113K449KPK01;870006144;
76755113W888;76785113K888KPK01;870006145;
76755135W333;76785135W333H6008;870005939;
76781126K888;76781126K888KPK01;870007564;
76781126W333;76781126K333KPK01;870005866;
76781133W333;76781133W333H6008;870004953;
76781133W339;76781133W339H6008;870008456;
76781133W444;76781133W444H6008;870005917;
76781140M000;76781140M000H6008;870006973;
76783028K111;76783028K111KPK01;870004954;
76783028K444;76783028K444KPK01;870004955;
76783028K555;76783028K555KPK01;870004956;
76753010W733;76783010K733KPK01;870009088;
76783028K669;76783028K669KPK01;870004958;
76783045W333;76783045K333KPK01;870006142;
76783045W335;76783045K335KPK01;870004959;
76753010W771;76783010K771KPK01;870008030;
76753010W775;76783010K775KPK01;870004501;
76783111G331;76783111G331KPK01;870006528;
76783111G333;76783111G333KPK01;870006312;
76783111G334;76783111G334KPK01;870004345;
76753010W778;76783010K778KPK01;870008634;
76783111G336;76783111G336KPK01;870006182;
76783111G339;76783111G339KPK01;870004347;
76783111G777;76783111G777KPK01;870006313;
76783111G884;76783111G884KPK01;870002844;
76783111G888;76783111G888KPK01;870003907;
76783111W001;76783111g001KPK01;870010151;
76783111W330;76783111g330KPK01;870008576;
76753010W993;76783010K993KPK01;870004507;
76783111W993;76783111g993KPK01;870010152;
76785113W444;76785113K444KPK01;870005054;
76785136A333;76785136A333H6008;870003649;
76785136A888;76785136A888H6008;870002567;
76881138W333;76881138W333H6008;870006181;
P00106449;76785021K448KPK01;870010153;
P00106603;76T00082DXXXH6008;870010154;
P00106604;76T00082BXXXH6008;870010166;
P00106607;76T00082AXXXH6008;870010168;
P00109264;62211001L000H6008;870010268;
P00109765;76785070K880KPK01;870010740;
P00110097;76783090K355KPK01;870010480;
P00111347;76M00184T;870010616;
P00111349;76M00047#;870010599;
P00111350;76M00010T;870010617;
P00111351;76M00020#;870010600;
P00111352;76M00046T;870010609;
P00111353;76M00021T;870010618;
P00113280;76786071G198KPK01;870011074;
P00113282;76F90062K999KPK01;870011075;
P00113283;76786081G999KPK01;870011076;
P00113286;76786091G999KPK01;870011077;
P00113288;76F90060K999KPK01;870011078;
P00113574;76783012G555KPK01;870011097;
P00113575;76F90060K555KPK01;870011098;
P00113576;76783012G198KPK01;870011099;
P00113578;76783012G777KPK01;870011100;
P00113579;76F90060K777KPK01;870011402;
P00113580;76F90061K555KPK01;870011403;
P00113582;76F90060K111KPK01;870011101;
P00113583;76F90061K198KPK01;870011102;
P00113584;76783012G888KPK01;870011103;
P00113585;76F90060K888KPK01;870011104;
P00113586;76F90061K777KPK01;870011105;
P00113588;76F90060K222KPK01;870011106;
P00113592;76F90060K333KPK01;870011107;
P00113595;76786071G777KPK01;870011109;
P00113596;76783012G353KPK01;870011110;
P00113597;76F90060K666KPK01;870011111;
P00113598;76F90062K888KPK01;870011112;
P00113601;76783012G666KPK01;870011113;
P00113602;76F90060K444KPK01;870011114;
P00113605;76786081G555KPK01;870011115;
P00113607;76783012G444KPK01;870011116;
P00113609;76F90062K444KPK01;870011118;
P00113610;76F90061K353KPK01;870011119;
P00113616;76F90061K666KPK01;870011122;
P00113617;76786081G353KPK01;870011123;
P00113618;76783103G111KPK01;870011124;
P00113621;76F90061K444KPK01;870011125;
P00113623;76783103G333KPK01;870011126;
P00113625;76786071G353KPK01;870011128;
P00113631;76786071G444KPK01;870011132;
P00113793;76783107G777KPK01;870011161;
P00113794;76F90062K555KPK01;870011162;
P00113795;76786091G333KPK01;870011163;
P00113796;76F90062K333KPK01;870011164;
P00113797;76F90062K666KPK01;870011165;
P00116194;76F90060K661KPK01;870011427;
P00116195;76F90061K661KPK01;870011428;
P00116196;76783012G661KPK01;870011429;
76753015K770;76783015G770KPK01;870011739;
76753010W552;76783010K552KPK01;870011796;
76753010W882;76783010K882KPK01;870011797;
76753040W342;76783040K342KPK01;870011798;
76753070W664;76783070K664KPK01;870011799;
